n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-68.5872,-41.4271,156.6394,-82.8071
1,6.0000,-41.4271,-57.1570,-82.8071,20.5405
2,7.0000,-57.1570,-66.6630,20.5405,-49.0928
3,8.0000,-66.6630,-29.9379,-49.0928,-64.8603
4,9.0000,-29.9379,-78.3990,-64.8603,0.0868
5,10.0000,-78.3990,-58.9289,0.0868,-52.1500
6,11.0000,-58.9289,-54.0745,-52.1500,-79.2267
7,12.0000,-54.0745,-34.7278,-79.2267,-83.0972
8,13.0000,-34.7278,-68.8357,-83.0972,-23.7198
9,14.0000,-68.8357,-52.8175,-23.7198,-65.1093
10,15.0000,-52.8175,-76.2198,-65.1093,-69.1713
11,16.0000,-76.2198,-71.0993,-69.1713,40.1544
12,17.0000,-71.0993,-51.5766,40.1544,-83.2897
13,18.0000,-51.5766,-65.2409,-83.2897,-157.8038
14,19.0000,-65.2409,-72.0276,-157.8038,162.3571
15,20.0000,-72.0276,-33.9420,162.3571,-66.0167
16,21.0000,-33.9420,-72.0322,-66.0167,-67.5520
17,22.0000,-72.0322,-66.4538,-67.5520,94.3378
18,23.0000,-66.4538,-41.9801,94.3378,-85.4309
19,24.0000,-41.9801,-71.3213,-85.4309,-68.2065
20,25.0000,-71.3213,-57.4936,-68.2065,-50.0627
21,26.0000,-57.4936,-45.6946,-50.0627,-95.0179
22,27.0000,-45.6946,-33.6123,-95.0179,-80.3234
23,28.0000,-33.6123,-70.0666,-80.3234,76.8924
24,29.0000,-70.0666,-73.5470,76.8924,-168.4047
25,30.0000,-73.5470,-71.6620,-168.4047,32.1617
26,31.0000,-71.6620,-77.7338,32.1617,-40.8661
27,32.0000,-77.7338,-99.0732,-40.8661,31.2233
28,33.0000,-99.0732,-69.9676,31.2233,173.3316
29,34.0000,-69.9676,-34.8357,173.3316,-62.8104
30,35.0000,-34.8357,-69.0593,-62.8104,-71.9384
31,36.0000,-69.0593,-72.6980,-71.9384,48.0157
32,37.0000,-72.6980,-51.2731,48.0157,-83.0296
33,38.0000,-51.2731,-69.7981,-83.0296,65.2035
34,39.0000,-69.7981,-40.4233,65.2035,-83.2341
35,40.0000,-40.4233,-76.4276,-83.2341,-39.8589
36,41.0000,-76.4276,-83.7758,-39.8589,-139.0169
