frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
52,0.86753,free_swing,575,492,581,618,-28.811,2.726,0,0.00,-131.72,0,126.14,9.04,2500,0,0,0
53,0.88422,free_swing,575,492,581,589,-28.811,3.540,0,0.00,6.83,1,97.19,29.92,2500,0,0,0
54,0.9009,free_swing,575,492,576,628,-28.811,0.421,0,0.00,89.79,0,136.00,1.93,2500,0,0,0
55,0.91758,free_swing,575,492,589,594,-28.811,7.815,0,0.00,16.61,1,102.96,25.76,2500,0,0,0
56,0.93427,free_swing,575,492,581,599,-28.811,3.209,0,0.00,-115.27,1,107.17,22.72,2500,0,0,0
57,0.95095,free_swing,575,492,578,610,-28.811,1.456,0,0.00,-105.03,1,118.04,14.89,2500,0,0,0
58,0.96763,free_swing,575,492,576,595,-28.811,0.556,0,0.00,328.41,1,103.00,25.73,2500,1,0,0
59,0.98432,free_swing,575,492,587,566,-28.811,9.211,0,0.00,312.37,1,74.97,45.94,2500,0,0,0
60,1.001,free_swing,575,492,599,567,-28.811,17.745,0,0.00,105.57,1,78.75,43.22,2500,1,0,0
61,1.01768,free_swing,575,492,590,579,-28.811,9.782,0,0.00,179.78,1,88.28,36.34,2500,0,0,0
62,1.03437,free_swing,575,492,596,575,-28.811,14.199,0,0.00,-1.45,1,85.62,38.27,2500,0,0,0
63,1.05105,free_swing,575,492,594,534,-28.811,24.341,0,0.00,-182.19,1,46.10,66.76,2500,0,0,0
64,1.06773,free_swing,575,492,581,609,-28.811,2.936,0,0.00,-451.17,1,117.15,15.52,2500,1,0,0
65,1.08442,free_swing,575,492,581,616,-28.811,2.770,0,0.00,-333.58,1,124.15,10.48,2500,0,0,0
66,1.1011,free_swing,575,492,578,606,-28.811,1.507,0,0.00,39.65,1,114.04,17.77,2500,1,0,0
67,1.11778,free_swing,575,492,576,616,-28.811,0.462,0,0.00,37.04,1,124.00,10.58,2500,0,0,0
68,1.13447,free_swing,575,492,578,611,-28.811,1.444,0,0.00,138.34,1,119.04,14.17,2500,0,0,0
69,1.15115,free_swing,575,492,585,585,-28.811,6.137,0,1.43,77.52,1,93.54,32.55,2500,0,0,0
70,1.16783,free_swing,575,492,585,588,-28.811,5.947,0,-4.37,141.97,1,96.52,30.40,2500,0,0,0
71,1.18452,free_swing,575,492,582,575,-28.811,4.821,0,-3.78,-9.15,1,83.29,39.94,2500,0,0,0
72,1.2012,free_swing,574,492,587,554,-29.085,11.842,0,0.00,-55.46,1,63.35,54.32,2500,0,0,0
73,1.21788,free_swing,575,492,578,604,-28.811,1.534,0,3.78,-81.65,1,112.04,19.21,2500,0,0,0
74,1.23457,free_swing,575,492,583,589,-28.811,4.715,0,4.37,-123.32,1,97.33,29.82,2500,0,0,0
75,1.25125,free_swing,575,492,583,598,-28.811,4.316,0,-2.88,26.03,1,106.30,23.35,2500,0,0,0
76,1.26793,free_swing,575,492,578,633,-28.811,1.219,0,-1.42,-38.41,0,141.03,1.69,2500,0,0,0
77,1.28462,free_swing,575,492,581,594,-28.811,3.366,0,11.27,29.04,1,102.18,26.32,2500,0,0,0
78,1.3013,free_swing,576,492,583,616,-28.535,3.231,0,28.77,-51.58,1,124.20,10.45,2500,0,0,0
79,1.31798,free_swing,579,492,582,585,-27.699,1.848,0,47.20,-131.94,1,93.05,32.91,2500,0,0,0
80,1.33467,free_swing,582,492,577,586,-26.851,-3.045,0,75.82,-141.34,1,94.13,32.12,2500,0,0,0
81,1.35135,free_swing,587,492,581,614,-25.408,-2.816,0,111.02,-216.29,1,122.15,11.92,2500,0,0,0
82,1.36803,free_swing,595,492,578,600,-23.025,-8.945,0,150.14,-548.09,1,109.33,21.17,2500,1,0,0
83,1.38472,free_swing,604,490,573,580,-20.477,-19.006,0,156.09,-682.93,1,95.19,31.36,2500,0,0,0
84,1.4014,free_swing,613,489,580,537,-17.665,-34.509,0,160.36,-335.91,1,58.25,58.00,2500,1,0,0
85,1.41808,free_swing,620,488,572,565,-15.410,-31.938,0,171.19,14.76,1,90.74,34.57,2500,1,0,0
86,1.43477,free_swing,630,486,571,594,-12.095,-28.648,0,163.40,22.57,1,123.07,11.26,2500,0,0,0
87,1.45145,free_swing,638,483,584,567,-9.401,-32.735,0,158.42,-225.39,1,99.86,27.99,2500,1,0,0
88,1.46813,free_swing,644,480,582,559,-7.316,-38.125,0,151.93,-74.74,1,100.42,27.59,2500,0,0,0
89,1.48482,free_swing,652,477,590,561,-4.338,-36.431,0,165.13,118.25,1,104.40,24.72,2500,0,0,0
90,1.5015,free_swing,659,474,601,574,-1.614,-30.114,0,154.54,196.23,1,115.60,16.64,2500,0,0,0
91,1.51818,free_swing,665,470,596,581,0.830,-31.866,0,129.16,124.71,0,130.70,5.76,2500,0,0,0
92,1.53487,free_swing,669,467,617,567,2.545,-27.474,0,114.52,121.71,1,112.71,18.73,2500,0,0,0
93,1.55155,free_swing,674,465,619,579,4.728,-25.755,0,120.00,180.51,0,126.57,8.73,2500,0,0,0
94,1.56823,free_swing,678,462,630,578,6.582,-22.479,0,134.99,146.30,0,125.54,9.48,2500,0,0,0
95,1.58492,free_swing,683,458,643,566,9.019,-20.323,0,130.88,192.89,1,115.17,16.95,2500,0,0,0
