t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.1020,12.4951,166.7053,-30.1741,1118.8734
6.1224,23.3688,149.8170,-35.8764,1138.9515
7.1429,36.6141,607.2236,46.9379,-1289.3659
8.1633,20.6154,203.8501,15.6157,887.4330
9.1837,19.1085,142.4930,-29.6266,1183.3978
10.2041,36.2683,418.4496,-152.0663,250.8069
11.2245,1.4150,114.7827,50.9733,951.3194
12.2449,19.0926,95.7148,-28.0270,1298.0857
13.2653,35.0938,271.8271,-63.9925,1008.1297
14.2857,11.9310,-49.7025,46.1104,1122.1019
15.3061,11.2591,108.3745,8.7064,1173.4988
16.3265,14.3050,133.5842,-18.5659,1252.1893
17.3469,22.6927,252.3231,-54.0643,1089.3232
18.3673,30.9809,450.1925,29.1930,483.1729
19.3878,63.3496,250.0836,-31.2679,-287.5116
20.4082,53.6021,276.0210,-66.8999,860.0184
21.4286,66.5413,237.2660,-15.4842,-574.6312
22.4490,50.4659,220.5051,-32.3723,1010.0454
23.4694,10.7097,545.1944,69.4065,241.3446
24.4898,22.9209,201.9953,-39.4776,1202.9286
25.5102,42.1936,641.7360,43.4301,-1335.5570
26.5306,17.7033,80.6628,-12.7116,1263.7415
27.5510,23.9410,149.9939,-32.9240,1217.7476
28.5714,44.7801,392.4291,-27.9365,-1005.8160
29.5918,20.5850,216.9185,-21.1710,1194.0747
30.6122,38.9427,327.1668,175.0474,-162.4925
31.6327,24.4630,20.8118,-29.0739,1358.3443
32.6531,23.9175,92.8727,-16.7894,1259.2970
33.6735,46.2110,381.7446,-139.7349,284.8923
34.6939,51.0719,260.7213,-59.3584,894.9858
35.7143,54.7345,313.6874,-27.8390,-722.6955
36.7347,10.1467,191.9447,12.6285,960.1997
37.7551,24.6106,176.9077,-37.5279,1202.7637
38.7755,47.0198,314.8679,-43.4948,766.8973
39.7959,55.4398,109.8425,-30.6505,988.4433
40.8163,58.0956,137.3960,-39.3394,924.6351
41.8367,24.0464,22.4730,-1.3701,1185.8211
42.8571,12.4648,133.3298,6.0561,1253.7262
43.8776,26.5681,308.3897,-64.9565,1131.4625
44.8980,1.6142,371.5114,54.0643,593.1119
45.9184,19.5983,147.0788,-12.9980,1284.8728
46.9388,40.3078,364.1187,-82.4928,949.4814
47.9592,6.8098,525.4042,66.3017,296.4369
48.9796,14.9957,104.6758,-41.3640,1235.4580
50.0000,32.7136,302.8449,-67.2318,1118.2982
51.0204,5.5096,589.6983,60.0223,174.5183
52.0408,21.9108,181.8903,-38.5836,1241.0666
53.0612,32.3382,661.4920,36.1617,-1296.9766
54.0816,18.1055,121.3829,-8.7197,1211.5479
55.1020,32.0619,225.3148,-51.9204,1079.1686
56.1224,59.0936,301.1281,-28.0581,-68.1171
57.1429,20.5262,101.7089,-21.2453,1259.7961
58.1633,32.5782,442.9432,-166.1539,126.7065
59.1837,25.8538,235.1464,-53.3992,1253.7393
60.2041,46.0131,320.5811,171.7131,-338.9131
61.2245,37.1340,-17.5631,-23.4967,1254.9382
62.2449,18.9658,12.8836,-1.7618,1345.9644
63.2653,17.1889,96.1806,-8.3859,1314.6870
64.2857,33.1697,438.1829,-111.5637,786.8735
65.3061,6.4663,591.5270,55.9711,269.3837
