n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.2632,-30.0434,-28.9690,106.4522,93.4140
1,6.0150,-28.9690,-28.7271,93.4140,99.0469
2,6.7669,-28.7271,-28.2330,99.0469,88.3960
3,7.5188,-28.2330,-29.0277,88.3960,97.3900
4,8.2707,-29.0277,-29.0580,97.3900,97.0454
5,9.0226,-29.0580,-28.0556,97.0454,87.7627
6,9.7744,-28.0556,-30.3749,87.7627,103.9977
7,10.5263,-30.3749,-30.3869,103.9977,91.6781
8,11.2782,-30.3869,-28.6277,91.6781,97.7878
9,12.0301,-28.6277,-29.4983,97.7878,98.8955
10,12.7820,-29.4983,-26.0776,98.8955,101.6208
11,13.5338,-26.0776,-30.6849,101.6208,96.4810
12,14.2857,-30.6849,-29.3681,96.4810,89.1488
13,15.0376,-29.3681,-30.6013,89.1488,99.6918
14,15.7895,-30.6013,-30.1098,99.6918,90.1554
15,16.5414,-30.1098,-27.2831,90.1554,99.2424
16,17.2932,-27.2831,-30.7582,99.2424,91.5108
17,18.0451,-30.7582,-29.5391,91.5108,97.6764
18,18.7970,-29.5391,-30.0990,97.6764,100.5003
19,19.5489,-30.0990,-29.8498,100.5003,94.1693
20,20.3008,-29.8498,-26.9422,94.1693,100.5688
21,21.0526,-26.9422,-30.6910,100.5688,91.5772
22,21.8045,-30.6910,-29.9243,91.5772,95.2393
23,22.5564,-29.9243,-30.0889,95.2393,94.5360
24,23.3083,-30.0889,-29.1203,94.5360,100.8547
25,24.0602,-29.1203,-29.6225,100.8547,114.3415
26,24.8120,-29.6225,-30.0197,114.3415,91.5867
27,25.5639,-30.0197,-27.5084,91.5867,87.3053
28,26.3158,-27.5084,-30.3493,87.3053,108.0992
29,27.0677,-30.3493,-25.5284,108.0992,92.5745
30,27.8195,-25.5284,-30.4164,92.5745,96.4224
31,28.5714,-30.4164,-28.4896,96.4224,107.7699
32,29.3233,-28.4896,-29.5230,107.7699,108.1250
33,30.0752,-29.5230,-27.8366,108.1250,96.0205
34,30.8271,-27.8366,-28.5318,96.0205,85.2939
35,31.5789,-28.5318,-29.7602,85.2939,113.7980
36,32.3308,-29.7602,-26.7433,113.7980,84.0125
37,33.0827,-26.7433,-29.8401,84.0125,106.7195
38,33.8346,-29.8401,-29.3618,106.7195,100.6455
39,34.5865,-29.3618,-26.4514,100.6455,81.0090
40,35.3383,-26.4514,-29.6139,81.0090,106.1920
41,36.0902,-29.6139,-27.7684,106.1920,93.4539
42,36.8421,-27.7684,-27.6124,93.4539,72.8369
43,37.5940,-27.6124,-28.1129,72.8369,108.3184
44,38.3459,-28.1129,-29.2148,108.3184,79.8337
45,39.0977,-29.2148,-27.1389,79.8337,112.8275
46,39.8496,-27.1389,-28.1557,112.8275,82.6704
47,40.6015,-28.1557,-29.2431,82.6704,101.2991
48,41.3534,-29.2431,-28.0755,101.2991,82.8198
49,42.1053,-28.0755,-28.4272,82.8198,97.9311
50,42.8571,-28.4272,-28.4673,97.9311,105.0641
51,43.6090,-28.4673,-29.7622,105.0641,102.9478
52,44.3609,-29.7622,-27.7276,102.9478,88.5022
53,45.1128,-27.7276,-31.4335,88.5022,118.7489
54,45.8647,-31.4335,-27.7508,118.7489,105.9610
55,46.6165,-27.7508,-28.7206,105.9610,108.6667
56,47.3684,-28.7206,-30.6118,108.6667,112.7673
57,48.1203,-30.6118,-27.7527,112.7673,99.2490
58,48.8722,-27.7527,-28.9506,99.2490,84.4411
59,49.6241,-28.9506,-30.2273,84.4411,116.4072
60,50.3759,-30.2273,-28.8369,116.4072,109.2642
61,51.1278,-28.8369,-28.7865,109.2642,94.6990
62,51.8797,-28.7865,-29.3940,94.6990,105.5619
63,52.6316,-29.3940,-29.0616,105.5619,101.2963
64,53.3835,-29.0616,-23.5738,101.2963,87.9214
65,54.1353,-23.5738,-28.8496,87.9214,106.3913
66,54.8872,-28.8496,-25.4689,106.3913,75.6168
67,55.6391,-25.4689,-28.5772,75.6168,115.0441
68,56.3910,-28.5772,-28.9282,115.0441,106.5036
69,57.1429,-28.9282,-26.0549,106.5036,63.8697
70,57.8947,-26.0549,-29.5391,63.8697,108.0690
71,58.6466,-29.5391,-27.6897,108.0690,90.8165
72,59.3985,-27.6897,-27.1957,90.8165,69.8170
73,60.1504,-27.1957,-29.1241,69.8170,114.2011
74,60.9023,-29.1241,-29.5902,114.2011,93.0947
75,61.6541,-29.5902,-25.6883,93.0947,66.7985
76,62.4060,-25.6883,-29.4239,66.7985,104.0023
77,63.1579,-29.4239,-28.3985,104.0023,83.2696
78,63.9098,-28.3985,-29.4558,83.2696,91.1651
79,64.6617,-29.4558,-31.4497,91.1651,113.5414
