frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
67,1.11778,driven,586.261,491.967,436.633,432.531,1.161,-111.664,0,338.41,-266.37
68,1.13447,driven,602.479,490.817,457.044,421.754,6.949,-115.402,0,360.22,-167.47
69,1.15115,driven,619.238,487.869,475.888,414.577,13.008,-117.080,0,367.87,-43.06
70,1.16783,driven,636.217,482.951,492.756,409.875,19.301,-116.993,0,391.03,82.92
71,1.18452,driven,653.267,475.857,506.602,409.445,25.877,-114.362,0,411.44,197.52
72,1.2012,driven,670.849,465.921,520.035,409.563,33.069,-110.490,0,421.29,257.49
73,1.21788,driven,686.324,454.471,531.091,411.767,39.924,-105.381,0,413.87,317.97
74,1.23457,driven,699.992,441.607,541.621,412.631,46.607,-100.368,0,382.24,418.51
75,1.25125,driven,711.086,428.545,550.181,423.017,52.708,-91.968,0,338.76,503.21
76,1.26793,driven,718.981,417.198,559.230,437.213,57.629,-82.859,0,255.88,524.48
77,1.28462,driven,724.283,408.202,568.906,450.379,61.346,-74.813,0,143.59,469.03
78,1.3013,driven,725.993,404.987,577.377,466.909,62.642,-67.380,0,57.81,461.10
79,1.31798,driven,725.993,404.987,586.705,485.733,62.642,-59.899,0,-11.76,444.83
80,1.33467,driven,725.993,404.987,599.977,505.192,62.642,-51.509,0,-74.56,456.40
81,1.35135,driven,722.916,410.653,608.531,523.954,60.347,-45.273,0,-164.72,462.66
82,1.36803,driven,717.769,419.081,623.033,549.257,56.833,-36.045,0,-257.65,481.94
83,1.38472,driven,709.612,430.450,633.965,572.572,51.851,-28.025,0,-318.69,557.56
84,1.4014,driven,698.688,442.970,649.106,596.145,45.936,-17.937,0,-412.16,729.35
85,1.41808,driven,683.430,456.836,671.454,617.390,38.594,-4.266,0,-528.44,989.29
86,1.43477,driven,659.961,472.414,700.505,628.225,28.556,14.586,0,-610.03,1055.46
87,1.45145,driven,632.828,484.095,718.637,620.322,18.029,32.207,0,-593.00,924.53
88,1.46813,driven,608.117,490.029,720.192,605.615,8.975,44.116,0,-502.76,732.49
89,1.48482,driven,587.562,491.935,720.170,583.239,1.624,55.452,0,-416.96,591.59
90,1.5015,driven,569.031,491.393,715.113,559.078,-4.977,65.140,0,-363.04,471.69
91,1.51818,driven,553.054,489.190,705.306,541.538,-10.720,71.026,0,-334.98,312.96
92,1.53487,driven,538.311,485.674,693.972,526.790,-16.115,75.204,0,-322.53,197.18
93,1.55155,driven,523.831,480.733,681.207,514.701,-21.562,77.820,0,-322.44,111.24
94,1.56823,driven,509.911,474.454,667.939,505.243,-26.999,78.975,0,-329.73,-10.12
95,1.58492,driven,496.723,466.931,654.100,500.892,-32.404,77.823,0,-331.58,-124.52
96,1.6016,driven,483.654,457.694,638.820,500.643,-38.102,74.528,0,-328.54,-205.22
97,1.61828,driven,472.654,448.238,624.798,500.899,-43.266,70.908,0,-303.53,-263.37
98,1.63497,driven,463.104,438.452,610.436,503.369,-48.133,66.221,0,-263.24,-336.27
99,1.65165,driven,456.495,430.586,595.864,511.190,-51.790,59.957,0,-180.85,-372.87
100,1.66833,driven,451.944,424.517,580.499,521.442,-54.490,52.985,0,-83.37,-371.71
101,1.68502,driven,451.944,424.517,570.819,533.097,-54.490,47.592,0,-17.77,-434.93
102,1.7017,driven,451.944,424.517,555.146,548.090,-54.490,39.867,0,38.32,-512.22
103,1.71838,driven,453.052,426.050,531.275,566.770,-53.816,29.069,0,101.53,-555.81
104,1.73507,driven,458.043,432.523,514.870,583.160,-50.907,20.668,0,216.30,-600.61
105,1.75175,driven,466.367,441.985,495.900,600.253,-46.422,10.570,0,337.49,-736.29
106,1.76843,driven,479.789,454.565,468.040,615.136,-39.871,-4.185,0,448.01,-929.19
107,1.78512,driven,498.158,467.831,441.558,618.555,-31.801,-20.582,0,509.64,-961.71
108,1.8018,driven,520.533,479.388,425.473,609.328,-22.830,-36.188,0,498.14,-863.10
109,1.81848,driven,540.353,486.249,419.441,592.556,-15.360,-48.678,0,427.05,-738.68
110,1.83517,driven,558.494,490.124,418.514,569.663,-8.755,-60.394,0,354.15,-615.45
111,1.85185,driven,573.200,491.701,422.125,547.355,-3.490,-69.777,0,318.64,-496.11
112,1.86853,driven,588.235,491.915,431.560,528.982,1.863,-76.689,0,304.37,-369.99
113,1.88522,driven,602.701,490.790,443.283,513.302,7.029,-81.962,0,324.58,-264.97
114,1.9019,driven,617.757,488.204,457.204,500.204,12.467,-85.725,0,351.19,-157.14
115,1.91858,driven,635.019,483.365,474.204,491.073,18.850,-87.256,0,381.14,-33.86
116,1.93527,driven,651.603,476.652,490.851,485.577,25.221,-86.822,0,387.03,84.26
117,1.95195,driven,667.626,467.965,507.349,483.201,31.711,-84.570,0,382.24,162.29
118,1.96863,driven,681.751,458.158,522.709,483.191,37.833,-81.055,0,380.10,244.42
119,1.98532,driven,695.323,446.345,538.604,483.227,44.239,-76.757,0,363.76,354.35
120,2.002,driven,706.346,434.473,555.489,490.714,50.007,-69.554,0,326.69,470.17
121,2.01868,driven,714.463,423.944,573.965,502.567,54.740,-60.769,0,225.95,529.06
122,2.03537,driven,719.459,416.439,593.077,516.181,57.949,-51.719,0,106.25,562.72
123,2.05205,driven,719.892,415.744,610.275,533.664,58.240,-42.910,0,34.91,569.69
124,2.06873,driven,719.892,415.744,634.481,552.221,58.240,-32.040,0,-23.49,594.49
125,2.08542,driven,719.892,415.744,657.134,564.009,58.240,-22.942,0,-107.65,623.36
126,2.1021,driven,714.501,423.889,682.906,581.758,54.764,-11.318,0,-239.57,730.45
127,2.11878,driven,705.476,435.502,709.211,596.458,49.528,1.329,0,-379.06,910.52
128,2.13547,driven,692.434,449.090,743.625,601.735,42.821,18.540,0,-470.74,1009.43
129,2.15215,driven,673.230,464.340,766.851,595.321,34.086,35.556,0,-509.19,990.51
130,2.16883,driven,652.611,476.173,777.489,577.792,25.618,50.863,0,-471.80,861.34
131,2.18552,driven,634.635,483.495,779.091,554.582,18.706,63.798,0,-386.08,716.12
132,2.2022,driven,618.755,487.980,774.192,529.933,12.831,74.895,0,-324.97,565.62
133,2.21888,driven,604.824,490.514,764.570,510.572,7.791,82.843,0,-297.46,437.39
134,2.23557,driven,590.852,491.808,751.832,494.379,2.795,89.085,0,-294.98,326.90
135,2.25225,driven,577.081,491.891,737.669,480.379,-2.107,94.100,0,-301.70,241.20
136,2.26893,driven,562.284,490.662,722.088,471.076,-7.393,96.987,0,-317.44,117.92
137,2.28562,driven,547.825,488.110,707.139,464.873,-12.620,98.298,0,-333.78,-7.62
138,2.3023,driven,531.795,483.640,691.692,464.828,-18.545,96.710,0,-347.44,-97.56
139,2.31898,driven,516.839,477.778,677.320,464.860,-24.264,94.602,0,-360.62,-170.53
140,2.33567,driven,501.742,469.990,662.698,466.227,-30.312,91.339,0,-353.53,-276.82
141,2.35235,driven,487.864,460.885,648.431,472.688,-36.221,85.796,0,-339.71,-413.65
142,2.36903,driven,476.547,451.784,633.629,487.084,-41.391,77.335,0,-305.27,-483.27
143,2.38572,driven,466.846,442.487,617.118,500.273,-46.174,68.966,0,-238.44,-538.81
144,2.4024,driven,460.441,435.404,600.911,514.075,-49.573,60.749,0,-138.38,-578.05
145,2.41908,driven,458.170,432.678,580.423,537.440,-50.836,49.406,0,-61.29,-596.67
146,2.43577,driven,458.170,432.678,561.086,556.490,-50.836,39.734,0,18.76,-607.27
147,2.45245,driven,458.170,432.678,539.055,571.885,-50.836,30.159,0,110.93,-656.68
148,2.46913,driven,464.854,440.374,513.933,593.711,-47.208,17.748,0,226.36,-771.71
149,2.48582,driven,474.113,449.595,483.363,610.329,-42.556,3.293,0,368.78,-939.89
150,2.5025,driven,488.395,461.273,454.420,618.647,-35.987,-12.182,0,460.10,-1068.72
151,2.51918,driven,509.823,474.409,424.299,610.815,-27.034,-32.087,0,500.75,-1082.47
152,2.53587,driven,529.983,483.020,408.176,588.302,-19.226,-49.162,0,445.84,-953.15
153,2.55255,driven,547.868,488.120,404.806,561.973,-12.604,-62.696,0,351.01,-744.62
154,2.56923,driven,562.050,490.631,407.371,535.302,-7.477,-73.892,0,291.53,-606.81
155,2.58592,driven,574.939,491.798,415.062,510.782,-2.870,-83.228,0,259.15,-511.45
156,2.6026,driven,587.254,491.944,426.273,489.531,1.514,-90.859,0,272.72,-416.13
157,2.61928,driven,600.083,491.091,440.376,470.731,6.091,-97.265,0,309.04,-320.17
158,2.63597,driven,616.195,488.541,458.401,456.571,11.899,-101.453,0,351.03,-205.73
159,2.65265,driven,632.545,484.187,476.418,444.877,17.923,-104.132,0,370.60,-86.08
160,2.66933,driven,648.945,477.875,492.941,438.078,24.180,-104.311,0,371.10,36.69
161,2.68602,driven,664.188,470.031,507.310,433.833,30.283,-102.993,0,381.15,151.14
162,2.7027,driven,679.353,459.985,520.511,433.715,36.760,-99.391,0,397.54,235.16
163,2.71938,driven,693.798,447.811,533.409,433.802,43.487,-94.992,0,400.47,298.90
164,2.73607,driven,706.506,434.282,545.512,435.621,50.096,-89.523,0,366.94,366.49
165,2.75275,driven,716.008,421.719,556.231,441.527,55.704,-82.933,0,320.81,473.64
166,2.76943,driven,722.768,410.911,567.767,454.449,60.242,-74.311,0,231.24,518.24
167,2.78612,driven,727.578,401.839,581.849,470.280,63.896,-64.843,0,120.34,504.11
168,2.8028,driven,728.156,400.648,591.675,486.052,64.368,-57.963,0,40.25,452.73
169,2.81948,driven,728.156,400.648,604.459,503.702,64.368,-50.202,0,-19.12,425.71
170,2.83617,driven,728.156,400.648,618.232,518.282,64.368,-43.060,0,-83.45,434.33
171,2.85285,driven,724.922,407.021,631.063,537.831,61.824,-35.660,0,-185.73,460.39
172,2.86953,driven,718.912,417.307,644.614,560.138,57.584,-27.483,0,-282.25,567.75
173,2.88622,driven,710.683,429.072,664.513,583.310,52.472,-16.664,0,-361.41,736.29
174,2.9029,driven,698.306,443.363,690.666,604.182,45.741,-2.720,0,-482.27,979.65
175,2.91958,driven,679.697,459.727,719.345,615.769,36.913,14.256,0,-572.02,1036.84
176,2.93627,driven,654.413,475.295,743.427,609.450,26.331,33.565,0,-577.74,929.51
177,2.95295,driven,632.135,484.319,745.184,598.954,17.769,44.601,0,-504.25,754.27
178,2.96963,driven,611.004,489.546,745.503,578.039,10.017,56.657,0,-418.81,604.35
179,2.98632,driven,593.082,491.684,740.811,555.694,3.590,66.573,0,-372.25,517.12
180,3.003,driven,576.230,491.858,730.501,537.920,-2.410,73.375,0,-344.48,336.27
181,3.01968,driven,560.655,490.442,718.110,524.045,-7.978,77.953,0,-336.80,226.15
182,3.03637,driven,544.813,487.406,703.563,514.230,-13.720,80.409,0,-332.55,127.11
183,3.05305,driven,530.048,483.043,689.739,503.529,-19.202,82.690,0,-340.47,4.70
184,3.06973,driven,515.309,477.079,674.360,502.052,-24.862,81.077,0,-344.32,-97.43
185,3.08642,driven,500.467,469.237,658.083,502.073,-30.839,78.232,0,-347.72,-209.07
