n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.4545,-40.9411,-29.0269,-22.6330,-40.4461
1,6.3636,-29.0269,-9.6519,-40.4461,66.5489
2,7.2727,-9.6519,-44.0881,66.5489,118.0141
3,8.1818,-44.0881,-36.5613,118.0141,136.9429
4,9.0909,-36.5613,-33.4280,136.9429,147.1642
5,10.0000,-33.4280,-21.4974,147.1642,175.3977
6,10.9091,-21.4974,-34.1812,175.3977,47.0536
7,11.8182,-34.1812,-36.0939,47.0536,129.7459
8,12.7273,-36.0939,-37.1744,129.7459,134.1112
9,13.6364,-37.1744,-30.0852,134.1112,148.7120
10,14.5455,-30.0852,-19.5213,148.7120,-178.8717
11,15.4545,-19.5213,-52.2012,-178.8717,112.9806
12,16.3636,-52.2012,-37.6206,112.9806,131.8805
13,17.2727,-37.6206,-33.2904,131.8805,143.5510
14,18.1818,-33.2904,-21.5633,143.5510,169.1183
15,19.0909,-21.5633,-52.8609,169.1183,-39.2218
16,20.0000,-52.8609,-40.5390,-39.2218,-22.2447
17,20.9091,-40.5390,-40.3332,-22.2447,-23.4251
18,21.8182,-40.3332,-36.5250,-23.4251,-17.6592
19,22.7273,-36.5250,-10.8472,-17.6592,-31.9657
20,23.6364,-10.8472,-40.2931,-31.9657,-79.0949
21,24.5455,-40.2931,-43.5715,-79.0949,-21.4078
22,25.4545,-43.5715,-45.3851,-21.4078,-25.0067
23,26.3636,-45.3851,-44.5244,-25.0067,-24.6989
24,27.2727,-44.5244,-44.9760,-24.6989,-29.2737
25,28.1818,-44.9760,-45.1856,-29.2737,-23.3250
26,29.0909,-45.1856,-44.5811,-23.3250,-28.6440
27,30.0000,-44.5811,-44.9813,-28.6440,-32.1204
28,30.9091,-44.9813,-42.8103,-32.1204,-29.8770
29,31.8182,-42.8103,-41.8062,-29.8770,-27.9596
30,32.7273,-41.8062,-40.1612,-27.9596,-28.0157
31,33.6364,-40.1612,-9.2451,-28.0157,-70.0511
32,34.5455,-9.2451,-22.4796,-70.0511,88.6868
33,35.4545,-22.4796,-39.8625,88.6868,131.2646
34,36.3636,-39.8625,-32.6767,131.2646,146.6446
35,37.2727,-32.6767,-23.8309,146.6446,167.9092
