t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.0000,57.8915,-254.0541,27.2046,1243.8287
5.8333,65.2230,-54.0880,72.5578,822.3925
6.6667,66.9200,-4.7679,84.2953,738.5394
7.5000,58.8140,-23.0439,63.2738,887.1407
8.3333,69.1780,-31.2947,84.1885,755.7450
9.1667,65.3380,21.1822,73.6745,766.1615
10.0000,67.5060,-1.2283,71.1119,765.1378
10.8333,59.6593,94.4534,61.8020,580.3484
11.6667,79.2960,32.4277,-81.6955,231.8332
12.5000,70.1140,36.7789,-24.2762,495.4391
13.3333,76.9511,203.7153,53.9065,-896.8628
14.1667,44.7990,-311.2407,41.7936,1389.2065
15.0000,81.2590,33.1068,-36.6826,-60.5424
15.8333,50.5736,-276.0645,30.7371,1270.1207
16.6667,73.4703,-49.6702,34.6639,673.0550
17.5000,68.8350,-113.7943,-42.5658,-777.2708
18.3333,81.9170,11.9768,-47.3404,-156.2264
19.1667,69.1503,73.6337,-37.5669,293.5015
20.0000,68.4580,1.2583,-151.1098,-143.3144
20.8333,30.4698,110.1092,89.6086,1009.4349
21.6667,79.5370,21.7515,-36.6128,-89.0442
22.5000,50.1503,-253.4250,36.6226,1194.2195
23.3333,70.2890,-77.5879,50.4661,746.4667
24.1667,75.8210,2.4002,-143.6318,-123.8617
25.0000,28.7694,80.0905,85.4878,1035.5796
25.8333,78.5400,15.2856,-43.1624,-245.0563
26.6667,66.9543,57.4361,-44.7739,134.3801
27.5000,64.5665,-60.4908,-25.8548,692.1217
28.3333,62.7662,-230.9576,17.5731,1074.5280
29.1667,43.5758,329.8066,117.5574,534.0185
30.0000,66.0813,262.6550,60.8809,-1039.2688
30.8333,77.8880,20.7307,-66.0450,427.8616
31.6667,66.9025,-83.7325,-15.1018,784.4850
32.5000,59.0189,-243.9025,27.1203,1153.6975
33.3333,62.0240,-6.0984,77.0239,899.0211
34.1667,64.7990,-84.8137,61.8806,889.5397
35.0000,70.4040,25.5278,72.4767,737.0969
35.8333,61.5242,105.5410,61.2561,562.0682
36.6667,70.3160,9.0118,-134.8306,-136.1508
37.5000,30.4760,21.9703,85.8534,1076.8983
38.3333,71.1060,-95.7899,-49.9555,-506.0598
39.1667,68.1710,-45.0894,-66.3233,-410.4923
40.0000,80.5290,-50.9706,-62.5438,-504.6259
40.8333,57.8822,271.1338,96.5236,175.2057
41.6667,59.9292,86.1757,-11.2584,-747.4518
42.5000,68.1990,34.9960,-53.9889,10.3944
43.3333,54.8788,-205.1888,18.6399,1104.1610
44.1667,59.8269,209.6670,77.0495,209.3201
45.0000,59.6590,71.5013,-14.6518,-845.5943
45.8333,68.1690,40.6271,-52.9530,5.5213
46.6667,50.2466,-195.7951,14.9378,1013.5305
47.5000,69.5661,-88.1161,-65.7577,-656.0080
48.3333,69.5430,49.4138,155.1855,-388.4894
49.1667,68.1360,95.8567,-117.8698,51.1801
50.0000,66.1830,36.7022,83.0728,722.0847
50.8333,60.8330,-44.4984,69.6116,882.5952
51.6667,64.7400,-7.3988,85.8455,817.8524
52.5000,70.8670,-78.8583,42.7135,723.5932
53.3333,75.6563,177.3668,115.7653,-766.7607
54.1667,53.7692,126.7982,170.6739,-410.7503
55.0000,42.1215,-292.3714,14.9718,1420.9540
55.8333,81.6260,26.2327,-2.8595,236.5909
56.6667,62.7785,281.0393,89.3731,-973.8806
57.5000,62.8270,39.8142,-160.1930,-340.3881
58.3333,22.8382,99.9139,75.6314,1060.5589
59.1667,67.4470,-43.2017,28.2394,589.4330
60.0000,68.8595,180.8057,37.6764,-923.7917
60.8333,33.1928,-111.0843,68.4947,1071.0344
61.6667,65.6971,-78.7620,48.7860,763.2104
62.5000,79.3280,-37.3152,-24.8800,634.8874
63.3333,73.4880,125.2019,29.5146,-828.9269
64.1667,33.2670,0.0509,75.6980,984.1923
65.0000,61.6898,-44.7839,70.8489,840.4623
65.8333,63.9010,75.6113,62.0678,509.9510
66.6667,74.1090,101.2886,35.8573,-793.1097
67.5000,34.3137,-142.2560,71.3851,1056.9569
68.3333,71.5570,-72.4690,35.1127,664.9612
69.1667,67.0410,-18.0837,-12.8334,-743.9756
70.0000,62.3960,-21.0690,-13.0806,467.9652
70.8333,64.9332,65.3536,145.9784,-560.5515
71.6667,67.9928,82.5417,-78.5980,450.1810
72.5000,51.9750,-245.8449,17.9710,1166.2620
73.3333,52.5889,196.7092,74.9037,187.8829
74.1667,64.0294,118.9836,12.4893,-805.8734
75.0000,39.5215,-91.2576,59.4032,1041.2943
75.8333,62.6530,-4.6037,71.0657,762.3502
76.6667,58.3718,216.6742,78.4432,170.2709
77.5000,61.1320,206.6359,16.7448,-920.0448
78.3333,37.5386,-59.8259,67.8752,979.4773
79.1667,64.5160,5.4576,74.9526,748.8794
80.0000,63.7030,64.8574,57.7546,631.3595
80.8333,75.1050,19.5027,-35.8689,462.2011
81.6667,63.6199,142.0765,137.6419,-640.0723
82.5000,58.2720,98.1483,-157.4834,-340.3524
83.3333,25.1690,-199.5518,24.8184,1371.2110
84.1667,68.0470,-93.6662,50.1208,718.6540
85.0000,74.4918,190.8648,103.8628,-850.4466
85.8333,55.5367,237.8228,130.7314,-719.9525
86.6667,59.9750,38.5129,-133.3391,-69.5729
87.5000,56.3100,-13.4612,-148.0535,-144.9793
88.3333,24.1673,134.9752,81.4197,855.8770
89.1667,54.1783,100.2805,55.5040,354.5663
90.0000,55.2130,-15.5934,-161.0141,-263.0699
90.8333,30.2499,179.9811,86.4744,781.6931
91.6667,29.0022,208.8564,97.0414,448.2770
